"","Location","Name","Type","FB","FB_year","fb_checkins","FB_likes","FB_followers","Twitter","T_year","T_following","tweets","T_followers","website","instagram","i_followers","i_following","i_posts","researcher","web_fact","type_fact","tw_ratio","tw_ratio_fix"
"1","Crookston, MN","Riverside Community Garden","Community Garden","Y","2016","8","98","94","N",NA,NA,NA,NA,"Y","N",NA,NA,NA,"Katie","Y","Community Garden",NA,NA
"2","Pine River, MN","Pine River-Backus Community Garden","Community Garden","N",NA,NA,NA,NA,"N",NA,NA,NA,NA,"N","N",NA,NA,NA,"Katie","N","Community Garden",NA,NA
"3","Duluth, MN","Strawberry Hill Community Garden","Community Garden","Y","2009","21","1596","1583","N",NA,NA,NA,NA,"Y","Y",157,218,16,"Katie","Y","Community Garden",NA,NA
"4","Moose Lake, MN","United Community Garden","Community Garden","N",NA,NA,NA,NA,"N",NA,NA,NA,NA,"Y","N",NA,NA,NA,"Brant","Y","Community Garden",NA,NA
"5","St. Francis, MN","Roselawn Heritage Farms/Community Gardens","Community Garden","Y","2011","0","47","46","N",NA,NA,NA,NA,"Y","N",NA,NA,NA,"Brant","Y","Community Garden",NA,NA
"6","Brooklyn Center, MN","Odyssey-Vinai Community Garden","Community Garden","N",NA,NA,NA,NA,"N",NA,NA,NA,NA,"Y","N",NA,NA,NA,"Brant","Y","Community Garden",NA,NA
"7","Minneapolis, MN","NE Riverside Garden Club","Community Garden","N",NA,NA,NA,NA,"N",NA,NA,NA,NA,"Y","N",NA,NA,NA,"Brant","Y","Community Garden",NA,NA
"8","Shorewood, MN","South Shore Community Park","Community Garden","N",NA,NA,NA,NA,"N",NA,NA,NA,NA,"Y","N",NA,NA,NA,"Brant","Y","Community Garden",NA,NA
"9","St. Paul, MN","Dunning Community Garden","Community Garden","N",NA,NA,NA,NA,"N",NA,NA,NA,NA,"Y","N",NA,NA,NA,"Brant","Y","Community Garden",NA,NA
"10","St. Paul, MN","Oxford- Dayton Community Farm and Garden","Community Garden","N",NA,NA,NA,NA,"N",NA,NA,NA,NA,"Y","N",NA,NA,NA,"Brant","Y","Community Garden",NA,NA
"11","St. Paul, MN","St. Anthony Park Community Garden","Community Garden","Y","2015","0","22","22","N",NA,NA,NA,NA,"Y","N",NA,NA,NA,"Brant","Y","Community Garden",NA,NA
"12","Minneapolis, MN","Fellowship Missionary Baptist Church","Community Garden","N",NA,NA,NA,NA,"N",NA,NA,NA,NA,"Y","N",NA,NA,NA,"Brant","Y","Community Garden",NA,NA
"13","Minneapolis, MN","The Mashkiikii Gitigan, 24th Street Urban Farm","Community Garden","N",NA,NA,NA,NA,"N",NA,NA,NA,NA,"Y","N",NA,NA,NA,"Brant","Y","Community Garden",NA,NA
"14","St. Paul, MN","Merriam Station Community Garden","Community Garden","Y","2012",NA,"130","171","Y",2014,"28","16","15","Y","Y",25,36,53,"Brant","Y","Community Garden",1.86666666666667,1.12
"15","Maple Grove, MN","Maple Grove Farmers Market","Farmers Market","Y","2010","586","4504","4370","Y",2012,"727","784","666","Y","N",NA,NA,NA,"Brant","Y","Farmers Market",1.09159159159159,1.07544378698225
"16","Brooklyn Park, MN","Brooklyn Park Farmers Market","Farmers Market","Y","2013","12","543","531","N",NA,NA,NA,NA,"N","N",NA,NA,NA,"Brant","N","Farmers Market",NA,NA
"17","Becker, Mn","Becker Farmers Market","Farmers Market","Y","2016","0","179","178","N",NA,NA,NA,NA,"Y","N",NA,NA,NA,"Brant","Y","Farmers Market",NA,NA
"18","Minneapolis, MN","Nokomis Farmers Market","Farmers Market","Y","2014","232","2789","2782","Y",2013,"37","594","721","Y","Y",1580,183,751,NA,"Y","Farmers Market",0.0513176144244105,0.0506155950752394
"19","Duluth, MN","Lincoln Park Farmers Market","Farmers Market","N",NA,NA,NA,NA,"N",NA,NA,NA,NA,"Y","N",NA,NA,NA,NA,"Y","Farmers Market",NA,NA
"20","Mahnomen, MN","White Earth Community Farmers Market","Farmers Market","Y","2015","0","178","178","N",NA,NA,NA,NA,"N","N",NA,NA,NA,NA,"N","Farmers Market",NA,NA
"21","Rochester, MN","Rochester Downtown Farmers Market","Farmers Market","Y","2009","2279","11761","11460","N",NA,NA,NA,NA,"Y","Y",1101,9,72,NA,"Y","Farmers Market",NA,NA
"22","Wells, MN","Wells Farmers Market","Farmers Market","Y","2011","6","177","173","N",NA,NA,NA,NA,"Y","N",NA,NA,NA,NA,"Y","Farmers Market",NA,NA
"23","Farmington, MN","Farmington Farmers Market","Farmers Market","N",NA,NA,NA,NA,"Y",2015,"244","94","279","Y","N",NA,NA,NA,NA,"Y","Farmers Market",0.874551971326165,0.844290657439446
"24","Winona, MN","Winona Farmers Market","Farmers Market","Y","2010","338","2801","2759","N",NA,NA,NA,NA,"Y","Y",279,21,300,NA,"Y","Farmers Market",NA,NA
"25","Elbow Lake, MN","Elbow Lake Farmers Market","Farmers Market","Y","2015","54","29,561","28,778","N",NA,NA,NA,NA,"N",NA,NA,NA,NA,"Alex","N","Farmers Market",NA,NA
"26","St. Paul, MN","St. Paul Farmers Market","Farmers Market","Y","2017","13257","259","271","Y",2010,"1099","1172","3683","Y","Y",1676,360,500,"Alex","Y","Farmers Market",0.298398045071952,0.297590035201733
"27","Lakeville, MN","Lakeville Farmers Market","Farmers Market","Y","2012","83","20","20","N",NA,NA,NA,NA,"Y","N",NA,NA,NA,NA,"Y","Farmers Market",NA,NA
"28","Minneapolis, MN","Minneapolis Farmers Market","Farmers Market","Y","2011","45770","41975","40311","Y",2009,"18800","14200","38400","Y","Y",12400,215,805,NA,"Y","Farmers Market",0.489583333333333,0.489455870866962
"29","Minneapolis, MN","Tangletown Gardens LLC","CSA","Y","2012","774","11163","10814","Y",2011,"198","1522","606","Y","Y",1542,138,261,NA,"Y","CSA",0.326732673267327,0.321428571428571
